Date,Open,High,Low,Close,Volume,Market Cap
Feb-15-2022,44522.9589,44522.9589,43367.6442,43997.7116,51244306560,833896616078
Feb-16-2022,43874.0659,44101.5051,40214.02227,40491.0412,59257593216,808358041670
Feb-17-2022,40528.1251,40924.09716,39629.33836,39976.23595,67854684189,765918052415
Feb-18-2022,39991.16762,40427.21165,39652.0096,40112.55953,50941849785,759529015275
Feb-19-2022,40096.00167,40100.0429,38077.0408,38464.8528,39952153991,734771306231
Feb-20-2022,38362.69454,39402.35077,36922.0285,37003.15356,57203595477,729866202965
Feb-21-2022,37060.00781,38337.8251,36444.81827,38302.8439,81464065636,709288617553
Feb-22-2022,38227.7774,39158.3401,37088.33878,37287.48634,108954655659,724585419658
Feb-23-2022,37216.40439,39132.7827,34408.52933,38296.16593,130682462236,685030805141
Feb-24-2022,38329.38683,39616.9516,38054.57113,39219.47676,85942038343,736163298231
Feb-25-2022,39226.46287,39970.48946,38606.4515,39033.5353,53525292772,743680328774
Feb-26-2022,39091.9507,39773.25674,37129.65641,37714.48389,46101678642,734004325756
Feb-27-2022,37703.77404,43716.57005,37513.31817,43181.1437,68880211740,747149243496
Feb-28-2022,43182.0054,44788.0749,42934.4426,44359.8712,92935896889,827710306554
Mar-01-2022,44404.9179,45173.5809,43387.8769,43938.47684,77745565525,835633793464
Mar-02-2022,43901.74614,44035.45904,41862.5181,42450.88343,66512987511,818020318281
Mar-03-2022,42465.00663,42498.51626,38732.82492,39120.0424,73188777467,776819353264
Mar-04-2022,39144.65309,39576.6006,38750.39689,39409.21247,59407483445,742730898449
Mar-05-2022,39399.035,39637.1481,38155.2867,38385.18525,40023234667,740361513819
Mar-06-2022,38398.93546,39399.96846,37172.81813,37991.87947,61781654514,725961264635
Mar-07-2022,38021.16231,39333.7131,38021.16231,38724.82009,87695148501,733186143517
Mar-08-2022,38741.22398,42508.69721,38680.08468,41955.06532,81739633849,788164037667
Mar-09-2022,41950.43524,42002.18786,38770.03143,39461.35102,117700388864,751963347858
Mar-10-2022,39427.62799,40118.98829,38291.8488,38770.04591,73106728690,739416933555
Mar-11-2022,38729.04139,39321.4025,38722.9222,38875.98605,56650400299,742192664746
Mar-12-2022,38803.98637,39220.9441,37670.38924,37824.35153,33924499228,738309972283
Mar-13-2022,37784.66665,39808.38173,37590.8815,39599.02437,47001002610,735083105285
Mar-14-2022,39669.01847,39805.39961,38230.9419,39302.01679,54149954759,740438348992
Mar-15-2022,39301.17956,41538.6006,38964.63682,41147.27989,74235084060,763561055615
Mar-16-2022,41115.36918,41306.80617,40600.029,40958.22516,68916952832,776343262406
Mar-17-2022,40912.96043,42231.7199,40255.88647,41767.09817,53167419719,777374367215
Mar-18-2022,41752.50102,42357.0528,41585.95812,42166.22954,47396630066,794482952303
Mar-19-2022,42207.51024,42279.9997,40980.51146,41252.05199,39440414009,790398950959
Mar-20-2022,41219.86354,41498.26617,40534.25117,41051.83346,48679170660,780302969090
Mar-21-2022,41064.53843,43176.92782,40940.05474,42376.74422,66069747399,805991263114
Mar-22-2022,42362.02323,42925.97798,41810.05689,42925.97798,55434469876,802216470987
Mar-23-2022,42901.78799,44196.38125,42726.38466,43948.89113,58305154460,822842858826
Mar-24-2022,43997.59787,45054.744,43775.9828,44365.18255,64975617209,840819908971
Mar-25-2022,44314.41581,44769.8851,44162.89066,44533.21742,52033351154,843029009115
Mar-26-2022,44532.13385,46842.71955,44438.29619,46842.71955,38989618745,853605708449
Mar-27-2022,46824.60641,48129.97387,46711.00479,46888.22115,72557284891,898470120346
Mar-28-2022,47086.20129,47988.53829,47032.00503,47498.66565,64970232761,903107803450
Mar-29-2022,47442.24333,47686.71894,46698.33856,47100.45937,60347299812,897335595158
Mar-30-2022,47055.99305,47559.98455,45380.4937,45540.82639,64306786076,886483715249
Mar-31-2022,45520.19684,46608.67518,44376.97933,46231.00476,82428634330,864912314319
Apr-01-2022,46249.9684,47025.37805,45768.23516,45845.95756,68534723186,882428839236
Apr-02-2022,45793.52919,47331.9547,45556.13118,46430.69671,53182050972,880120047930
Apr-03-2022,46429.49649,46853.4882,45201.06871,46605.60297,75797947520,874912902659
Apr-04-2022,46598.16005,47143.74184,45573.53741,45573.53741,107956835470,880592114003
Apr-05-2022,45479.96945,45479.96945,43138.51947,43138.51947,82230669555,847920145406
Apr-06-2022,43154.77454,43855.3637,42814.9482,43480.17472,75865888668,825828787135